"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","Expansion Parts Set 1","Bandai Spirits","5066263","The Witch from Mercury","Detail and Conversion sets","USD 22","2023-12-20","P-Bandai","","","","","https://www.scalemates.com/kits/--1523635"
"1:144","Weapon Display Base","Bandai Spirits","5064255","The Witch from Mercury","Display bases","","","","","","","","https://www.scalemates.com/kits/--1462122"
"1:100","VF-22S Sturmvogel II (Gamlin Kizaki Custom)","Bandai Spirits","5067202","VF-22 Sturmvögel II","Static model kits","USD 59","2025-02-14","P-Bandai","","","","","https://www.scalemates.com/kits/--1557312"
"1:100","VF-22S Sturmvögel II (Maximillian Jenius Use)","Bandai Spirits","5068344","VF-22 Sturmvögel II","Static model kits","USD 44.95","2026-02-14","eBay","","","","","https://www.scalemates.com/kits/--1573221"
"1:100","VF-22S Sturmvögel II (Milia Farina Jenius Use)","Bandai Spirits","5068324","VF-22 Sturmvögel II","Static model kits","USD 44.95","2026-02-14","eBay","","","","","https://www.scalemates.com/kits/--1573201"
"1:100","VF-25F Messiah Valkyrie (Alto Custom)","Bandai Spirits","5072046","VF-25 Messiah","Static model kits","USD 54.95","2026-05-10","eBay","","","","","https://www.scalemates.com/kits/--1648367"
"1:100","VF-31C Siegfried (Mirage Farina Jenius use)","Bandai Spirits","5069168","VF-31 Siegfried","Static model kits","USD 63.76","2025-11-22","Amazon","","","","","https://www.scalemates.com/kits/--1621091"
"1:100","VF-31J Siegfried (Hayate Immelmann use)","Bandai Spirits","5068696","VF-31 Siegfried","Static model kits","USD 59.95","2025-11-26","Amazon","","","","","https://www.scalemates.com/kits/--1601566"
"1:100","VF-31S Siegfried (Arad Mölders use)","Bandai Spirits","5072008","VF-31 Siegfried","Static model kits","USD 66.95","2026-05-10","eBay","","","","","https://www.scalemates.com/kits/--1648352"
"1:144","Gundam Lfrith Pre-Production Model","Bandai Spirits","5066575","XGF-01 gundam Lfrith Pre-Production Model","Static model kits","USD 24","2024-02-23","P-Bandai","","","","","https://www.scalemates.com/kits/--1530606"
"1:144","Gundam Lfrith Jiu","Bandai Spirits","5065598","XGF-01[II3] gundam Lfrith Jiu","Static model kits","USD 24","2025-08-01","P-Bandai","","","","","https://www.scalemates.com/kits/--1481346"
"1:144","Gundnode","Bandai Spirits","5066724","XGF-E3 gundnode","Static model kits","USD 24","2024-07-11","P-Bandai","","","","","https://www.scalemates.com/kits/--1539737"
"1:144","XM-X1 Crossbone Gundam X1","Bandai Spirits","5057617","XM-X Crossbone gundam","Static model kits","USD 39.45","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1220232"
"1:144","XM-X2 Crossbone Gundam X2","Bandai Spirits","5059053","XM-X Crossbone gundam","Static model kits","USD 32","2024-09-20","P-Bandai","","","","","https://www.scalemates.com/kits/--1306015"
"1:144","Farsia (xvb-xd)","Bandai Spirits","5062828","xvb-xd Farsia","Static model kits","USD 27.99","2025-12-09","eBay","","","","","https://www.scalemates.com/kits/--1421155"
"1:100","Gundam Aerial","Bandai Spirits","5065090","XVX-016 gundam Aerial","Static model kits","USD 0","2025-12-25","gift","","","","","https://www.scalemates.com/kits/--1443212"
"No","XVX-016 Gundam Aerial","Bandai Spirits","5068846","XVX-016 gundam Aerial","Static model kits","USD 51","2025-11-21","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1601569"
"1:144","XXXG-00W0 Wing Gundam Zero","Bandai Spirits","5068874","XXXG-00W0 Wing gundam Zero","Static model kits","USD 45.9","2025-11-22","Newtype","","","","","https://www.scalemates.com/kits/--1601585"
"1:144","XXXG-01W Wing Gundam","Bandai Spirits","5061661","XXXG-01W Wing gundam","Static model kits","USD 32.75","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1316940"
"1:144","XXXG-01W Wing Gundam EW","Bandai Spirits","5063053","XXXG-01W Wing gundam","Static model kits","USD 31.03","0000-00-00","Amazon","","","","","https://www.scalemates.com/kits/--1508707"
"1:100","VF-19 Custom Fire Valkyrie with Sound Booster","Bandai Spirits","5066315","YF-19","Static model kits","USD 50.95","2025-03-07","Amazon","","","","","https://www.scalemates.com/kits/--1519474"
"1:100","YF-29 Durandal Valkyrie","Bandai Spirits","5065420","YF-29","Static model kits","USD 46.28","2025-04-04","Amazon","","","","","https://www.scalemates.com/kits/--1466501"
"1:100","YF-29 Durandal Valkyrie","Bandai Spirits","5065691","YF-29","Static model kits","USD 49","2026-03-08","eBay","","","","","https://www.scalemates.com/kits/--1487640"
"1:144","Gundam G-Self Perfect Pack","Bandai Spirits","5057730","YG-111 gundam G-Self","Static model kits","USD 30.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1305952"
"1:144","YMS-08B Dom Test Type","Bandai Spirits","5059025","YMS-08 Dom","Static model kits","USD 34.95","2025-08-28","Walmart","","","","","https://www.scalemates.com/kits/--1303728"
"1:144","Justice Gundam","Bandai Spirits","5061615","ZGMF-X09A Justice gundam","Static model kits","USD 44.99","2025-10-25","Amazon.com","","","","","https://www.scalemates.com/kits/--1355577"
"1:144","Freedom Gundam","Bandai Spirits","5061614","ZGMF-X10A Freedom gundam","Static model kits","USD 27.59","2025-11-17","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1355374"
"1:144","Strike Freedom Gundam","Bandai Spirits","5061617","ZGMF-X20A Strike Freedom gundam","Static model kits","USD 36.99","2025-01-06","Amazon","","","","","https://www.scalemates.com/kits/--1355245"
"1:100","Strike Freedom Gundam Full Burst Mode","Bandai Spirits","5062903","ZGMF-X20A Strike Freedom gundam","Static model kits","USD 0","2025-12-25","gift","","","","","https://www.scalemates.com/kits/--1421071"
"1:144","Destiny Gundam Spec II & Zeus Silhouette","Bandai Spirits","5067428","ZGMF-X42S Destiny gundam","Static model kits","USD 0","2026-01-09","gift","","","","","https://www.scalemates.com/kits/--1559615"
"1:144","Blast Impulse Gundam SPEC II","Bandai Spirits","5067201","ZGMF-X56","Static model kits","USD 79.9","2025-11-17","eBay","","","","","https://www.scalemates.com/kits/--1569888"
"1:144","ZGMF-56E2/α Force Impulse Gundam Spec II","Bandai Spirits","5066289","ZGMF-X56","Static model kits","USD 35","2026-05-15","eBay","","","","","https://www.scalemates.com/kits/--1508792"
"1:144","ZGMF-X56S/β Sword Impulse Gundam","Bandai Spirits","5061034","ZGMF-X56","Static model kits","USD 72","2025-11-17","eBay","","","","","https://www.scalemates.com/kits/--1356736"
